Session,Specimen
Session 02,6272
Session 02,6297
Session 02,6315
Session 02,6318
Session 02,6321
Session 02,6326
Session 02,6327
Session 02,6329
Session 02,6330
Session 02,6332
Session 02,6333
Session 02,7025
Session 02,7028
Session 02,7039
Session 02,7043
Session 02,7140
Session 02,7142
Session 02,7225
Session 02,7235
Session 02,7284
Session 02,7335
Session 02,7336
Session 02,7349
Session 02,7358
Session 02,7375
Session 02,7395
Session 02,7407
Session 02,7422
Session 02,7424
Session 02,7426
Session 02,7427
Session 03,6099
Session 03,6101
Session 03,6110
Session 03,6111
Session 03,6112
Session 03,6208
Session 03,6209
Session 03,6211
Session 03,6271
Session 03,6319
Session 03,6320
Session 03,6331
Session 03,7049
Session 03,7051
Session 03,7224
Session 03,7253
Session 03,7286
Session 03,7350
Session 03,7359
Session 03,7361
Session 03,7362
Session 03,7408
Session 03,7414
Session 03,7415
Session 03,7416
Session 03,7417
Session 03,7418
Session 03,7419
Session 03,7420
Session 04,6051
Session 04,6052
Session 04,6054
Session 04,6055
Session 04,6056
Session 04,6057
Session 04,6059
Session 04,6060
Session 04,6061
Session 04,6062
Session 04,6063
Session 04,6064
Session 04,6065
Session 04,6066
Session 04,6067
Session 04,6068
Session 04,6070
Session 04,6071
Session 04,6071
Session 04,6073
Session 04,6074
Session 04,6076
Session 04,6079
Session 04,6080
Session 04,6090
Session 04,6091
Session 04,6092
Session 04,6094
Session 04,6095
Session 04,6096
Session 04,6097
Session 04,6098
Session 04,6104
Session 04,6106
Session 04,6109
Session 05,Cat 2828
Session 05,Cat 2829
Session 05,Cat 2830
Session 05,Cat 2832
Session 05,Cat 2833
Session 05,Cat 2834
Session 05,Cat 2836
Session 05,Cat 2837
Session 05,Cat 2840
Session 05,Cat 2841
Session 05,Cat 2842
Session 05,Cat 2905
Session 05,Cat 2906
Session 05,Cat 2908
Session 05,Cat 2910
Session 05,Cat 2913
Session 05,Cat 2914
Session 06,Cat 2630
Session 06,Cat 2631
Session 06,Cat 2632
Session 06,Cat 2634
Session 06,Cat 2636
Session 06,Cat 2637
Session 06,Cat 2638
Session 06,Cat 2639
Session 06,Cat 2640
Session 06,Cat 2642
Session 06,Cat 2644
Session 06,Cat 2646
Session 08,6296
Session 08,7115
Session 08,7120
Session 08,7165
Session 08,7166
Session 08,7171
Session 08,7174
Session 08,7181
Session 08,7182
Session 08,7193
Session 08,7197
Session 08,7208
Session 08,7352
Session 08,7355
Session 08,7357
Session 08,7363
Session 08,7400
Session 08,7401
Session 08,7402
Session 08,7405
Session 08,7411
Session 09,7012
Session 09,7060
Session 09,7108
Session 09,7111
Session 09,7116
Session 09,7117
Session 09,7159
Session 09,7160
Session 09,7164
Session 09,7167
Session 09,7170
Session 09,7173
Session 09,7178
Session 09,7179
Session 09,7180
Session 09,7189
Session 09,7198
Session 09,7217
Session 09,7246
Session 09,7300
Session 09,7303
Session 09,7304
Session 09,7316
Session 09,7326
Session 09,7328
Session 09,7329
Session 09,7331
Session 09,7334
Session 09,7343
Session 09,7344
Session 09,7345
Session 09,7354
Session 09,7356
Session 09,7373
Session 09,7396
Session 09,7397
Session 09,7403
Session 09,7404
Session 09,7410
